id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15611794,Walker,667,France,Male,33,5,0,2,1,1,145562.4,0
1,15803032,Hsiung,653,Germany,Female,34,1,152532.3,1,1,0,67972.45,0
2,15631170,Walker,656,France,Male,30,5,0,2,1,0,69052.87,0
3,15761733,Ch'eng,704,France,Male,40,1,0,1,1,1,165561.82,0
4,15682070,Mazzanti,642,France,Male,32,2,0,2,1,0,582.59,0
5,15647725,Illingworth,611,France,Female,36,1,0,2,1,0,102986.15,0
6,15689031,Lo,479,France,Female,31,7,0,2,1,0,75632.78,0
7,15768777,Nnonso,684,France,Female,42,4,0,3,1,1,106977.8,1
8,15671249,Hsiung,774,France,Female,40,3,106901.42,2,1,1,171716.81,0
9,15690164,Onochie,588,France,Male,48,8,0,2,0,1,143463.28,0
10,15690079,Maclean,590,Spain,Female,56,1,128206.79,1,1,0,176962.32,1
11,15571752,Manna,731,Germany,Female,38,5,119817.33,1,1,0,180736.24,0
12,15596074,Chinomso,646,France,Female,38,8,0,2,1,1,172450.04,0
13,15783882,Chidiegwu,584,France,Male,38,2,83772.95,1,1,1,57862.88,0
14,15799186,Chukwufumnanya,824,France,Male,36,5,0,2,1,0,154491.39,0
15,15791342,Nwankwo,699,Spain,Female,38,2,0,2,1,0,95936.84,0
16,15764174,Fan,714,France,Male,24,5,0,2,1,1,114514.64,0
17,15785798,Shao,714,France,Male,37,4,0,2,1,0,160523.33,0
18,15751227,Trevisan,677,France,Male,32,7,106544.6,1,1,0,120892.96,0
19,15757867,Okeke,678,France,Female,33,2,0,2,0,1,176780.69,0
20,15624180,Ch'ien,603,Spain,Male,37,6,131390.75,1,1,0,168515.61,0
21,15670822,Yefimova,652,Spain,Female,37,3,0,2,1,1,160810.85,0
22,15757837,Ts'ui,678,France,Female,32,3,0,2,0,0,148564.76,0
23,15586029,Onwumelu,584,Germany,Female,40,1,121151.05,2,1,1,92664.09,0
24,15752534,Y?,663,France,Female,44,7,0,2,1,0,100843.82,0
25,15749167,Ting,547,Spain,Male,36,4,0,2,1,1,91775.52,0
26,15814040,Onwughara,661,Germany,Male,34,5,106070.89,2,1,1,57898.58,0
27,15690925,Tung,585,France,Male,51,7,123311.11,1,1,1,79082.62,0
28,15806913,Chu,699,France,Male,24,9,0,2,0,0,142730.27,0
